0,5.0,nil
1,39.0,nil
2,9.0,nil
3,46.0,nil
4,24.0,nil
5,44.0,4
6,44.0,nil
7,24.0,nil
8,9.0,nil
9,37.0,nil
10,15.0,2
11,20.0,nil
12,1.0,nil
13,7.0,nil
14,44.0,nil
15,26.0,7
16,24.0,nil
17,17.0,nil
18,8.0,nil
19,15.0,nil
20,45.0,5
21,5.0,nil
22,41.0,nil
23,22.0,nil
24,47.0,nil
25,27.0,18
26,43.0,nil
27,45.0,nil
28,20.0,nil
29,45.0,nil
30,12.0,18
31,43.0,nil
32,9.0,nil
33,2.0,nil
34,48.0,nil
35,35.0,16
36,24.0,nil
37,14.0,nil
38,34.0,nil
39,32.0,nil
40,13.0,6
41,31.0,nil
42,5.0,nil
43,18.0,nil
44,35.0,nil
45,42.0,40
46,11.0,nil
47,25.0,nil
48,48.0,nil
49,31.0,nil
50,13.0,7
51,25.0,nil
52,41.0,nil
53,7.0,nil
54,12.0,nil
55,5.0,25
56,16.0,nil
57,43.0,nil
58,35.0,nil
59,29.0,nil
60,10.0,26
61,39.0,nil
62,13.0,nil
63,10.0,nil
64,23.0,nil
65,14.0,36
66,16.0,nil
67,35.0,nil
68,10.0,nil
69,14.0,nil
70,1.0,28
71,3.0,nil
72,26.0,nil
73,47.0,nil
74,18.0,nil
75,2.0,65
76,26.0,nil
77,5.0,nil
78,24.0,nil
79,13.0,nil
80,21.0,28
81,35.0,nil
82,38.0,nil
83,23.0,nil
84,19.0,nil
85,9.0,51
86,15.0,nil
87,27.0,nil
88,37.0,nil
89,31.0,nil
90,41.0,11
91,14.0,nil
92,31.0,nil
93,27.0,nil
94,7.0,nil
95,23.0,31
96,8.0,nil
97,45.0,nil
98,48.0,nil
99,19.0,nil
