0,21.0,nil
1,14.0,nil
2,10.0,nil
3,15.0,nil
4,43.0,nil
5,4.0,3
6,8.0,nil
7,46.0,nil
8,24.0,nil
9,44.0,nil
10,8.0,9
11,14.0,nil
12,12.0,nil
13,34.0,nil
14,37.0,nil
15,47.0,9
16,36.0,nil
17,22.0,nil
18,5.0,nil
19,27.0,nil
20,21.0,1
21,35.0,nil
22,46.0,nil
23,40.0,nil
24,13.0,nil
25,6.0,15
26,25.0,nil
27,24.0,nil
28,42.0,nil
29,10.0,nil
30,7.0,21
31,20.0,nil
32,12.0,nil
33,15.0,nil
34,13.0,nil
35,23.0,31
36,47.0,nil
37,2.0,nil
38,3.0,nil
39,34.0,nil
40,20.0,30
41,29.0,nil
42,11.0,nil
43,3.0,nil
44,39.0,nil
45,34.0,4
46,46.0,nil
47,24.0,nil
48,37.0,nil
49,30.0,nil
50,3.0,1
51,8.0,nil
52,9.0,nil
53,33.0,nil
54,26.0,nil
55,37.0,0
56,37.0,nil
57,42.0,nil
58,45.0,nil
59,12.0,nil
60,18.0,49
61,10.0,nil
62,28.0,nil
63,46.0,nil
64,39.0,nil
65,1.0,20
66,29.0,nil
67,48.0,nil
68,25.0,nil
69,22.0,nil
70,8.0,59
71,34.0,nil
72,29.0,nil
73,44.0,nil
74,47.0,nil
75,37.0,73
76,37.0,nil
77,40.0,nil
78,48.0,nil
79,3.0,nil
80,42.0,23
81,34.0,nil
82,2.0,nil
83,41.0,nil
84,26.0,nil
85,4.0,53
86,26.0,nil
87,3.0,nil
88,33.0,nil
89,29.0,nil
90,41.0,63
91,20.0,nil
92,45.0,nil
93,33.0,nil
94,25.0,nil
95,22.0,30
96,27.0,nil
97,38.0,nil
98,6.0,nil
99,11.0,nil
